u,v,w
미스터피자선릉점,식도락가,1
빈로이,식도락가,1
(주)대한음악사서초지점,식도락가,1
파리크라상강남역,식도락가,1
매드포갈릭예술의전당점,식도락가,1
맥도날드강남점,식도락가,1
김영모과자점,식도락가,1
KFC서초동,식도락가,1
교촌치킨역삼1호점,식도락가,1
아리따움강남역지하점,식도락가,1
(주)거북곱창,식도락가,1
뚜레쥬르서초역점,식도락가,1
강남일미포차,식도락가,1
커피빈서초우성점,식도락가,1
왕대박감자탕,식도락가,1
GS25서초제일점,식도락가,1
엔제리너스강남교보타워,식도락가,1
파스쿠찌,식도락가,1
고종의아침,식도락가,1
디에이비강남점,식도락가,1
황토감자탕,식도락가,1
커피빈강남대로점,식도락가,1
엘투제이뮈렌,식도락가,1
아웃백양재점,식도락가,1
두나서점도곡점,식도락가,1
고향한식부폐,식도락가,1
탐앤탐스서초점,식도락가,1
서초버드나무집,식도락가,1
미니스톱강남센터점,식도락가,1
마키노차야역삼점,식도락가,1
금문도,식도락가,1
봉피양,식도락가,1
도스타코스본점,식도락가,1
삼통치킨,식도락가,1
연화산,식도락가,1
한국아트체인,스타일리쉬,1
(주)툴쿠아즈,스타일리쉬,1
미니스톱강남센터점,스타일리쉬,1
파리바게뜨,스타일리쉬,1
미스터피자선릉점,스타일리쉬,1
KFC서초동,스타일리쉬,1
빈로이,스타일리쉬,1
세븐일레븐양재점,스타일리쉬,1
두나서점도곡점,스타일리쉬,1
(주)거북곱창,스타일리쉬,1
더샘강남역점,스타일리쉬,1
뚜레쥬르서초역점,스타일리쉬,1
삼통치킨,스타일리쉬,1
주식회사비에스케이코퍼레이션,스타일리쉬,1
엔제리너스강남교보타워,스타일리쉬,1
파스쿠찌,스타일리쉬,1
(주)대한음악사서초지점,스타일리쉬,1
디에이비강남점,스타일리쉬,1
한국아트체인,대중적인,1
(주)툴쿠아즈,대중적인,1
다이타네일예진미인,대중적인,1
세븐일레븐양재점,대중적인,1
뚜레쥬르서초역점,대중적인,1
커피빈서초우성점,대중적인,1
주식회사비에스케이코퍼레이션,대중적인,1
파스쿠찌,대중적인,1
디에이비강남점,대중적인,1
도미노피자서초점,사회적인,1
에프샵2,사회적인,1
파리바게뜨,사회적인,1
만리성,사회적인,1
미스터피자선릉점,사회적인,1
빈로이,사회적인,1
세븐일레븐양재점,사회적인,1
파리크라상강남역,사회적인,1
매드포갈릭예술의전당점,사회적인,1
맥도날드강남점,사회적인,1
김영모과자점,사회적인,1
KFC서초동,사회적인,1
교촌치킨역삼1호점,사회적인,1
아리따움강남역지하점,사회적인,1
(주)거북곱창,사회적인,1
뚜레쥬르서초역점,사회적인,1
강남일미포차,사회적인,1
커피빈서초우성점,사회적인,1
왕대박감자탕,사회적인,1
GS25서초제일점,사회적인,1
엔제리너스강남교보타워,사회적인,1
파스쿠찌,사회적인,1
고종의아침,사회적인,1
디에이비강남점,사회적인,1
황토감자탕,사회적인,1
커피빈강남대로점,사회적인,1
엘투제이뮈렌,사회적인,1
아웃백양재점,사회적인,1
두나서점도곡점,사회적인,1
고향한식부폐,사회적인,1
탐앤탐스서초점,사회적인,1
서초버드나무집,사회적인,1
(주)툴쿠아즈,사회적인,1
미니스톱강남센터점,사회적인,1
마키노차야역삼점,사회적인,1
금문도,사회적인,1
봉피양,사회적인,1
도스타코스본점,사회적인,1
삼통치킨,사회적인,1
도미노피자서초점,얼리어댑터,1
파스쿠찌,얼리어댑터,1
(주)툴쿠아즈,얼리어댑터,1
도미노피자서초점,커피홀릭,1
파리바게뜨,커피홀릭,1
미스터피자선릉점,커피홀릭,1
빈로이,커피홀릭,1
(주)대한음악사서초지점,커피홀릭,1
파리크라상강남역,커피홀릭,1
매드포갈릭예술의전당점,커피홀릭,1
맥도날드강남점,커피홀릭,1
KFC서초동,커피홀릭,1
교촌치킨역삼1호점,커피홀릭,1
아리따움강남역지하점,커피홀릭,1
GS25서초제일점,커피홀릭,1
강남일미포차,커피홀릭,1
커피빈서초우성점,커피홀릭,1
왕대박감자탕,커피홀릭,1
토니모리강남점,커피홀릭,1
엔제리너스강남교보타워,커피홀릭,1
파스쿠찌,커피홀릭,1
고종의아침,커피홀릭,1
디에이비강남점,커피홀릭,1
한국아트체인,커피홀릭,1
커피빈강남대로점,커피홀릭,1
엘투제이뮈렌,커피홀릭,1
아웃백양재점,커피홀릭,1
